index_7networks,name_7networks,x,y,z,index_17networks,name_17networks,17net,7net,index,region
759.0,7Networks_RH_SalVentAttn_TempOccPar_14,61.0,-25.0,28.0,728.0,17Networks_RH_SalVentAttnA_ParOper_8,SalVentAttnA,SalVentAttn,757,7Networks_RH_SalVentAttn_TempOccPar_14
760.0,7Networks_RH_SalVentAttn_TempOccPar_15,62.0,-29.0,39.0,729.0,17Networks_RH_SalVentAttnA_ParOper_9,SalVentAttnA,SalVentAttn,758,7Networks_RH_SalVentAttn_TempOccPar_15
761.0,7Networks_RH_SalVentAttn_TempOccPar_16,64.0,-18.0,28.0,730.0,17Networks_RH_SalVentAttnA_ParOper_10,SalVentAttnA,SalVentAttn,759,7Networks_RH_SalVentAttn_TempOccPar_16
762.0,7Networks_RH_SalVentAttn_TempOccPar_17,64.0,-35.0,39.0,773.0,17Networks_RH_SalVentAttnB_IPL_3,SalVentAttnB,SalVentAttn,760,7Networks_RH_SalVentAttn_TempOccPar_17
763.0,7Networks_RH_SalVentAttn_TempOccPar_18,64.0,-22.0,41.0,695.0,17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,SalVentAttn,761,7Networks_RH_SalVentAttn_TempOccPar_18
764.0,7Networks_RH_SalVentAttn_PrC_1,50.0,4.0,40.0,854.0,17Networks_RH_ContA_PFCl_11,ContA,SalVentAttn,762,7Networks_RH_SalVentAttn_PrC_1
765.0,7Networks_RH_SalVentAttn_PrC_2,49.0,-1.0,47.0,731.0,17Networks_RH_SalVentAttnA_PrC_1,SalVentAttnA,SalVentAttn,763,7Networks_RH_SalVentAttn_PrC_2
766.0,7Networks_RH_SalVentAttn_FrOperIns_1,38.0,7.0,-20.0,741.0,17Networks_RH_SalVentAttnA_Ins_1,SalVentAttnA,SalVentAttn,764,7Networks_RH_SalVentAttn_FrOperIns_1
767.0,7Networks_RH_SalVentAttn_FrOperIns_2,38.0,11.0,-11.0,742.0,17Networks_RH_SalVentAttnA_Ins_2,SalVentAttnA,SalVentAttn,765,7Networks_RH_SalVentAttn_FrOperIns_2
768.0,7Networks_RH_SalVentAttn_FrOperIns_3,46.0,6.0,-15.0,645.0,17Networks_RH_SomMotB_Aud_1,SomMotB,SalVentAttn,766,7Networks_RH_SalVentAttn_FrOperIns_3
769.0,7Networks_RH_SalVentAttn_FrOperIns_4,40.0,1.0,-11.0,743.0,17Networks_RH_SalVentAttnA_Ins_3,SalVentAttnA,SalVentAttn,767,7Networks_RH_SalVentAttn_FrOperIns_4
770.0,7Networks_RH_SalVentAttn_FrOperIns_5,41.0,9.0,-3.0,744.0,17Networks_RH_SalVentAttnA_Ins_4,SalVentAttnA,SalVentAttn,768,7Networks_RH_SalVentAttn_FrOperIns_5
771.0,7Networks_RH_SalVentAttn_FrOperIns_6,41.0,-7.0,-7.0,745.0,17Networks_RH_SalVentAttnA_Ins_5,SalVentAttnA,SalVentAttn,769,7Networks_RH_SalVentAttn_FrOperIns_6
772.0,7Networks_RH_SalVentAttn_FrOperIns_7,47.0,-9.0,-6.0,648.0,17Networks_RH_SomMotB_Aud_4,SomMotB,SalVentAttn,770,7Networks_RH_SalVentAttn_FrOperIns_7
773.0,7Networks_RH_SalVentAttn_FrOperIns_8,33.0,24.0,2.0,787.0,17Networks_RH_SalVentAttnB_Ins_5,SalVentAttnB,SalVentAttn,771,7Networks_RH_SalVentAttn_FrOperIns_8
774.0,7Networks_RH_SalVentAttn_FrOperIns_9,38.0,5.0,4.0,746.0,17Networks_RH_SalVentAttnA_Ins_6,SalVentAttnA,SalVentAttn,772,7Networks_RH_SalVentAttn_FrOperIns_9
775.0,7Networks_RH_SalVentAttn_FrOperIns_10,38.0,30.0,2.0,788.0,17Networks_RH_SalVentAttnB_Ins_6,SalVentAttnB,SalVentAttn,773,7Networks_RH_SalVentAttn_FrOperIns_10
776.0,7Networks_RH_SalVentAttn_FrOperIns_11,39.0,-14.0,2.0,747.0,17Networks_RH_SalVentAttnA_Ins_7,SalVentAttnA,SalVentAttn,774,7Networks_RH_SalVentAttn_FrOperIns_11
777.0,7Networks_RH_SalVentAttn_FrOperIns_12,34.0,20.0,10.0,748.0,17Networks_RH_SalVentAttnA_Ins_8,SalVentAttnA,SalVentAttn,775,7Networks_RH_SalVentAttn_FrOperIns_12
778.0,7Networks_RH_SalVentAttn_FrOperIns_13,41.0,24.0,6.0,789.0,17Networks_RH_SalVentAttnB_Ins_7,SalVentAttnB,SalVentAttn,776,7Networks_RH_SalVentAttn_FrOperIns_13
779.0,7Networks_RH_SalVentAttn_FrOperIns_14,34.0,5.0,11.0,749.0,17Networks_RH_SalVentAttnA_Ins_9,SalVentAttnA,SalVentAttn,777,7Networks_RH_SalVentAttn_FrOperIns_14
780.0,7Networks_RH_SalVentAttn_FrOperIns_15,47.0,21.0,3.0,790.0,17Networks_RH_SalVentAttnB_Ins_8,SalVentAttnB,SalVentAttn,778,7Networks_RH_SalVentAttn_FrOperIns_15
781.0,7Networks_RH_SalVentAttn_FrOperIns_16,38.0,12.0,10.0,733.0,17Networks_RH_SalVentAttnA_FrOper_1,SalVentAttnA,SalVentAttn,779,7Networks_RH_SalVentAttn_FrOperIns_16
782.0,7Networks_RH_SalVentAttn_FrOperIns_17,44.0,13.0,4.0,734.0,17Networks_RH_SalVentAttnA_FrOper_2,SalVentAttnA,SalVentAttn,780,7Networks_RH_SalVentAttn_FrOperIns_17
783.0,7Networks_RH_SalVentAttn_FrOperIns_18,40.0,2.0,14.0,735.0,17Networks_RH_SalVentAttnA_FrOper_3,SalVentAttnA,SalVentAttn,781,7Networks_RH_SalVentAttn_FrOperIns_18
784.0,7Networks_RH_SalVentAttn_FrOperIns_19,49.0,9.0,0.0,736.0,17Networks_RH_SalVentAttnA_FrOper_4,SalVentAttnA,SalVentAttn,782,7Networks_RH_SalVentAttn_FrOperIns_19
785.0,7Networks_RH_SalVentAttn_FrOperIns_20,47.0,-1.0,7.0,737.0,17Networks_RH_SalVentAttnA_FrOper_5,SalVentAttnA,SalVentAttn,783,7Networks_RH_SalVentAttn_FrOperIns_20
786.0,7Networks_RH_SalVentAttn_FrOperIns_21,53.0,13.0,8.0,791.0,17Networks_RH_SalVentAttnB_Ins_9,SalVentAttnB,SalVentAttn,784,7Networks_RH_SalVentAttn_FrOperIns_21
787.0,7Networks_RH_SalVentAttn_FrOperIns_22,58.0,4.0,6.0,738.0,17Networks_RH_SalVentAttnA_FrOper_6,SalVentAttnA,SalVentAttn,785,7Networks_RH_SalVentAttn_FrOperIns_22
788.0,7Networks_RH_SalVentAttn_FrOperIns_23,56.0,9.0,13.0,739.0,17Networks_RH_SalVentAttnA_FrOper_7,SalVentAttnA,SalVentAttn,786,7Networks_RH_SalVentAttn_FrOperIns_23
789.0,7Networks_RH_SalVentAttn_FrOperIns_24,60.0,9.0,20.0,740.0,17Networks_RH_SalVentAttnA_FrOper_8,SalVentAttnA,SalVentAttn,787,7Networks_RH_SalVentAttn_FrOperIns_24
790.0,7Networks_RH_SalVentAttn_PFCl_1,31.0,47.0,21.0,776.0,17Networks_RH_SalVentAttnB_PFCl_2,SalVentAttnB,SalVentAttn,788,7Networks_RH_SalVentAttn_PFCl_1
791.0,7Networks_RH_SalVentAttn_PFCl_2,28.0,45.0,33.0,779.0,17Networks_RH_SalVentAttnB_PFCl_5,SalVentAttnB,SalVentAttn,789,7Networks_RH_SalVentAttn_PFCl_2
792.0,7Networks_RH_SalVentAttn_Med_1,5.0,23.0,27.0,793.0,17Networks_RH_SalVentAttnB_PFCmp_2,SalVentAttnB,SalVentAttn,790,7Networks_RH_SalVentAttn_Med_1
793.0,7Networks_RH_SalVentAttn_Med_2,4.0,9.0,34.0,761.0,17Networks_RH_SalVentAttnA_FrMed_1,SalVentAttnA,SalVentAttn,791,7Networks_RH_SalVentAttn_Med_2
794.0,7Networks_RH_SalVentAttn_Med_3,4.0,-5.0,36.0,762.0,17Networks_RH_SalVentAttnA_FrMed_2,SalVentAttnA,SalVentAttn,792,7Networks_RH_SalVentAttn_Med_3
795.0,7Networks_RH_SalVentAttn_Med_4,9.0,25.0,38.0,795.0,17Networks_RH_SalVentAttnB_PFCmp_4,SalVentAttnB,SalVentAttn,793,7Networks_RH_SalVentAttn_Med_4
796.0,7Networks_RH_SalVentAttn_Med_5,9.0,13.0,40.0,763.0,17Networks_RH_SalVentAttnA_FrMed_3,SalVentAttnA,SalVentAttn,794,7Networks_RH_SalVentAttn_Med_5
797.0,7Networks_RH_SalVentAttn_Med_6,9.0,-25.0,40.0,750.0,17Networks_RH_SalVentAttnA_ParMed_1,SalVentAttnA,SalVentAttn,795,7Networks_RH_SalVentAttn_Med_6
798.0,7Networks_RH_SalVentAttn_Med_7,8.0,-15.0,40.0,751.0,17Networks_RH_SalVentAttnA_ParMed_2,SalVentAttnA,SalVentAttn,796,7Networks_RH_SalVentAttn_Med_7
